id,title,abstract,ai_abstract
2511.14761,ARC Is a Vision Problem!,"The Abstraction and Reasoning Corpus (ARC) is designed to promote research on abstract reasoning, a fundamental aspect of human intelligence. Common approaches to ARC treat it as a language-oriented problem, addressed by large language models (LLMs) or recurrent reasoning models. However, although the puzzle-like tasks in ARC are inherently visual, existing research has rarely approached the problem from a vision-centric perspective. In this work, we formulate ARC within a vision paradigm, framing it as an image-to-image translation problem. To incorporate visual priors, we represent the inputs on a ""canvas"" that can be processed like natural images. It is then natural for us to apply standard vision architectures, such as a vanilla Vision Transformer (ViT), to perform image-to-image mapping. Our model is trained from scratch solely on ARC data and generalizes to unseen tasks through test-time training. Our framework, termed Vision ARC (VARC), achieves 60.4% accuracy on the ARC-1 benchmark, substantially outperforming existing methods that are also trained from scratch. Our results are competitive with those of leading LLMs and close the gap to average human performance.",ARC 旨在推动抽象推理研究，现有方法多为语言导向（如 LLM），但 ARC 任务本质视觉却少视觉中心方案。本文将 ARC 归为视觉范式下的图到图翻译，以 “画布” 处理输入，用 ViT，仅靠 ARC 数据从零训练，借测试时训练泛化。框架 VARC 在 ARC-1 准确率 60.4%，超同类从零训方法，比肩顶尖 LLM，接近人类平均水平。
2511.14730,Heterogeneous Multi-Agent Proximal Policy Optimization for Power Distribution System Restoration,"Restoring power distribution systems (PDS) after large-scale outages requires sequential switching operations that reconfigure feeder topology and coordinate distributed energy resources (DERs) under nonlinear constraints such as power balance, voltage limits, and thermal ratings. These challenges make conventional optimization and value-based RL approaches computationally inefficient and difficult to scale. This paper applies a Heterogeneous-Agent Reinforcement Learning (HARL) framework, instantiated through Heterogeneous-Agent Proximal Policy Optimization (HAPPO), to enable coordinated restoration across interconnected microgrids. Each agent controls a distinct microgrid with different loads, DER capacities, and switch counts, introducing practical structural heterogeneity. Decentralized actor policies are trained with a centralized critic to compute advantage values for stable on-policy updates. A physics-informed OpenDSS environment provides full power flow feedback and enforces operational limits via differentiable penalty signals rather than invalid action masking. The total DER generation is capped at 2400 kW, and each microgrid must satisfy local supply-demand feasibility. Experiments on the IEEE 123-bus and IEEE 8500-node systems show that HAPPO achieves faster convergence, higher restored power, and smoother multi-seed training than DQN, PPO, MAES, MAGDPG, MADQN, Mean-Field RL, and QMIX. Results demonstrate that incorporating microgrid-level heterogeneity within the HARL framework yields a scalable, stable, and constraint-aware solution for complex PDS restoration.",针对大规模停电后的配电系统恢复需协调分布式能源且面临非线性约束的难题，本文采用异构代理强化学习框架，通过 HAPPO 实现互联微电网的协调恢复。针对微电网负载、容量和开关数量的结构异构性，训练去中心化 Actor 和中心化 Critic 以计算优势值。利用物理感知的 OpenDSS 环境提供潮流反馈，并通过可微惩罚信号而非无效动作掩码来强制执行操作限制。在 IEEE 123 节点和 8500 节点系统上的实验表明，HAPPO 在收敛速度、恢复功率和稳定性方面优于 DQN、QMIX 及 PPO 等基线，证明了异构感知在复杂 PDS 恢复中的有效性。
2511.14728,Automated proving in planar geometry based on the complex number identity method and elimination,"We improve the complex number identity proving method to a fully automated procedure, based on elimination ideals. By using declarative equations or rewriting each real-relational hypothesis $h_i$ to $h_i-r_i$, and the thesis $t$ to $t-r$, clearing the denominators and introducing an extra expression with a slack variable, we eliminate all free and relational point variables. From the obtained ideal $I$ in $\mathbb{Q}[r,r_1,r_2,\ldots]$ we can find a conclusive result. It plays an important role that if $r_1,r_2,\ldots$ are real, $r$ must also be real if there is a linear polynomial $p(r)\in I$, unless division by zero occurs when expressing $r$. Our results are presented in Mathematica, Maple and in a new version of the Giac computer algebra system. Finally, we present a prototype of the automated procedure in an experimental version of the dynamic geometry software GeoGebra.",本文改进复数恒等式证明方法，基于消去理想实现平面几何的全自动证明。通过将实关系假设重写为代数方程，清除分母并引入松弛变量，消除了所有自由和关系点变量。若在生成的理想 $I$ 中存在线性多项式 $p(r)$，且除数不为零，则可得出结论。该方法已在 Mathematica、Maple 和新版 Giac 代数系统中实现，并在 GeoGebra 实验版中展示了自动化原型，提升了动态几何软件的证明能力。
2511.14719,Zero-shot Synthetic Video Realism Enhancement via Structure-aware Denoising,"We propose an approach to enhancing synthetic video realism, which can re-render synthetic videos from a simulator in photorealistic fashion. Our realism enhancement approach is a zero-shot framework that focuses on preserving the multi-level structures from synthetic videos into the enhanced one in both spatial and temporal domains, built upon a diffusion video foundational model without further fine-tuning. Specifically, we incorporate an effective modification to have the generation/denoising process conditioned on estimated structure-aware information from the synthetic video, such as depth maps, semantic maps, and edge maps, by an auxiliary model, rather than extracting the information from a simulator. This guidance ensures that the enhanced videos are consistent with the original synthetic video at both the structural and semantic levels. Our approach is a simple yet general and powerful approach to enhancing synthetic video realism: we show that our approach outperforms existing baselines in structural consistency with the original video while maintaining state-of-the-art photorealism quality in our experiments.",针对合成视频真实感增强，提出一种基于扩散视频基础模型的零样本框架，无需微调即可将合成视频重渲染为照片级逼真风格。方法核心在于结构感知去噪，利用辅助模型估计的深度图、语义图和边缘图作为条件引导生成过程，而非依赖模拟器信息。这种引导确保了增强视频在空间和时间域上与原始视频的结构及语义一致性。实验表明，该方法在保持 SOTA 级真实感质量的同时，在结构一致性上优于现有基线。
2511.14715,\textit{FLARE}: Adaptive Multi-Dimensional Reputation for Robust Client Reliability in Federated Learning,"Federated learning (FL) enables collaborative model training while preserving data privacy. However, it remains vulnerable to malicious clients who compromise model integrity through Byzantine attacks, data poisoning, or adaptive adversarial behaviors. Existing defense mechanisms rely on static thresholds and binary classification, failing to adapt to evolving client behaviors in real-world deployments. We propose FLARE, an adaptive reputation-based framework that transforms client reliability assessment from binary decisions to a continuous, multi-dimensional trust evaluation. FLARE integrates: (i) a multi-dimensional reputation score capturing performance consistency, statistical anomaly indicators, and temporal behavior, (ii) a self-calibrating adaptive threshold mechanism that adjusts security strictness based on model convergence and recent attack intensity, (iii) reputation-weighted aggregation with soft exclusion to proportionally limit suspicious contributions rather than eliminating clients outright, and (iv) a Local Differential Privacy (LDP) mechanism enabling reputation scoring on privatized client updates. We further introduce a highly evasive Statistical Mimicry (SM) attack, a benchmark adversary that blends honest gradients with synthetic perturbations and persistent drift to remain undetected by traditional filters. Extensive experiments with 100 clients on MNIST, CIFAR-10, and SVHN demonstrate that FLARE maintains high model accuracy and converges faster than state-of-the-art Byzantine-robust methods under diverse attack types, including label flipping, gradient scaling, adaptive attacks, ALIE, and SM. FLARE improves robustness by up to 16% and preserves model convergence within 30% of the non-attacked baseline, while achieving strong malicious-client detection performance with minimal computational overhead. https://github.com/Anonymous0-0paper/FLARE",针对联邦学习中恶意客户端的拜占庭攻击和数据投毒，提出了 FLARE 框架，将客户端可靠性评估从二元决策转变为连续多维信任评估。FLARE 整合了性能一致性、统计异常和时间行为，采用自校准自适应阈值调整安全严格度，并通过声誉加权聚合与软排除限制可疑贡献，辅以本地差分隐私机制。针对新引入的高隐蔽性统计模仿（SM）攻击及传统攻击，在 MNIST 和 CIFAR-10 等数据集上的实验显示，FLARE 将鲁棒性提升高达 16%，在保持模型收敛性的同时实现了低开销的恶意检测。
2511.14702,Seeing Beyond the Image: ECG and Anatomical Knowledge-Guided Myocardial Scar Segmentation from Late Gadolinium-Enhanced Images,"Accurate segmentation of myocardial scar from late gadolinium enhanced (LGE) cardiac MRI is essential for evaluating tissue viability, yet remains challenging due to variable contrast and imaging artifacts. Electrocardiogram (ECG) signals provide complementary physiological information, as conduction abnormalities can help localize or suggest scarred myocardial regions. In this work, we propose a novel multimodal framework that integrates ECG-derived electrophysiological information with anatomical priors from the AHA-17 atlas for physiologically consistent LGE-based scar segmentation. As ECGs and LGE-MRIs are not acquired simultaneously, we introduce a Temporal Aware Feature Fusion (TAFF) mechanism that dynamically weights and fuses features based on their acquisition time difference. Our method was evaluated on a clinical dataset and achieved substantial gains over the state-of-the-art image-only baseline (nnU-Net), increasing the average Dice score for scars from 0.6149 to 0.8463 and achieving high performance in both precision (0.9115) and sensitivity (0.9043). These results show that integrating physiological and anatomical knowledge allows the model to ""see beyond the image"", setting a new direction for robust and physiologically grounded cardiac scar segmentation.",晚期钆增强（LGE）心脏 MRI 的心肌瘢痕分割受限于成像伪影，本文提出融合 ECG 电生理信息与 AHA-17 图谱解剖先验的多模态框架。针对 ECG 与 MRI 非同步采集的问题，设计了时间感知特征融合（TAFF）机制，根据采集时间差动态加权融合特征。在临床数据集上，该方法将瘢痕分割的 Dice 分数从 nnU-Net 的 0.6149 提升至 0.8463，显著提高了精度与灵敏度，证明了整合生理与解剖知识能有效辅助模型“超越图像”进行诊断。
2511.14694,Near-Lossless Model Compression Enables Longer Context Inference in DNA Large Language Models,"Trained on massive cross-species DNA corpora, DNA large language models (LLMs) learn the fundamental ""grammar"" and evolutionary patterns of genomic sequences. This makes them powerful priors for DNA sequence modeling, particularly over long ranges. However, two major constraints hinder their use in practice: the quadratic computational cost of self-attention and the growing memory required for key-value (KV) caches during autoregressive decoding. These constraints force the use of heuristics such as fixed-window truncation or sliding windows, which compromise fidelity on ultra-long sequences by discarding distant information. We introduce FOCUS (Feature-Oriented Compression for Ultra-long Self-attention), a progressive context-compression module that can be plugged into pretrained DNA LLMs. FOCUS combines the established k-mer representation in genomics with learnable hierarchical compression: it inserts summary tokens at k-mer granularity and progressively compresses attention key and value activations across multiple Transformer layers, retaining only the summary KV states across windows while discarding ordinary-token KV. A shared-boundary windowing scheme yields a stationary cross-window interface that propagates long-range information with minimal loss. We validate FOCUS on an Evo-2-based DNA LLM fine-tuned on GRCh38 chromosome 1 with self-supervised training and randomized compression schedules to promote robustness across compression ratios. On held-out human chromosomes, FOCUS achieves near-lossless fidelity: compressing a 1 kb context into only 10 summary tokens (about 100x) shifts the average per-nucleotide probability by only about 0.0004. Compared to a baseline without compression, FOCUS reduces KV-cache memory and converts effective inference scaling from O(N^2) to near-linear O(N), enabling about 100x longer inference windows on commodity GPUs with near-lossless fidelity.",针对 DNA 大语言模型在处理超长序列时面临的注意力计算和 KV 缓存瓶颈，提出了 FOCUS 渐进式上下文压缩模块。该方法结合 k-mer 表示与可学习的分层压缩，在 k-mer 粒度插入摘要 token，逐步压缩多层注意力 KV 激活，仅保留摘要 KV 状态。配合共享边界窗口机制传播长程信息，将推理复杂度从 $O(N^2)$ 降至近线性 $O(N)$。在 Evo-2 模型上的验证表明，FOCUS 可将 1kb 上下文压缩为 10 个 token（100倍），预测概率偏移仅 0.0004，在消费级 GPU 上实现了近乎无损的 100 倍长窗口推理。
2511.14691,Attention via Synaptic Plasticity is All You Need: A Biologically Inspired Spiking Neuromorphic Transformer,"Attention is the brain's ability to selectively focus on a few specific aspects while ignoring irrelevant ones. This biological principle inspired the attention mechanism in modern Transformers. Transformers now underpin large language models (LLMs) such as GPT, but at the cost of massive training and inference energy, leading to a large carbon footprint. While brain attention emerges from neural circuits, Transformer attention relies on dot-product similarity to weight elements in the input sequence. Neuromorphic computing, especially spiking neural networks (SNNs), offers a brain-inspired path to energy-efficient intelligence. Despite recent work on attention-based spiking Transformers, the core attention layer remains non-neuromorphic. Current spiking attention (i) relies on dot-product or element-wise similarity suited to floating-point operations, not event-driven spikes; (ii) keeps attention matrices that suffer from the von Neumann bottleneck, limiting in-memory computing; and (iii) still diverges from brain-like computation. To address these issues, we propose the Spiking STDP Transformer (S$^{2}$TDPT), a neuromorphic Transformer that implements self-attention through spike-timing-dependent plasticity (STDP), embedding query--key correlations in synaptic weights. STDP, a core mechanism of memory and learning in the brain and widely studied in neuromorphic devices, naturally enables in-memory computing and supports non-von Neumann hardware. On CIFAR-10 and CIFAR-100, our model achieves 94.35\% and 78.08\% accuracy with only four timesteps and 0.49 mJ on CIFAR-100, an 88.47\% energy reduction compared to a standard ANN Transformer. Grad-CAM shows that the model attends to semantically relevant regions, enhancing interpretability. Overall, S$^{2}$TDPT illustrates how biologically inspired attention can yield energy-efficient, hardware-friendly, and explainable neuromorphic models.",针对 Transformer 高能耗及传统脉冲注意力仍依赖浮点运算的问题，提出了基于脉冲时序依赖可塑性（STDP）的神经形态 Transformer（$S^{2}$TDPT）。该模型通过 STDP 机制实现自注意力，将 Query-Key 相关性嵌入突触权重，天然支持存内计算并突破冯·诺依曼瓶颈。在 CIFAR-10/100 上，仅需 4 个时间步即可分别达到 94.35% 和 78.08% 的准确率，能耗低至 0.49 mJ，较标准 ANN 减少 88.47%。Grad-CAM 可视化证实了其语义聚焦能力，实现了高效、硬件友好且可解释的神经形态计算。
2511.14689,Impact of Image Resolution on Age Estimation with DeepFace and InsightFace,"Automatic age estimation is widely used for age verification, where input images often vary considerably in resolution. This study evaluates the effect of image resolution on age estimation accuracy using DeepFace and InsightFace. A total of 1000 images from the IMDB-Clean dataset were processed in seven resolutions, resulting in 7000 test samples. Performance was evaluated using Mean Absolute Error (MAE), Standard Deviation (SD), and Median Absolute Error (MedAE). Based on this study, we conclude that input image resolution has a clear and consistent impact on the accuracy of age estimation in both DeepFace and InsightFace. Both frameworks achieve optimal performance at 224x224 pixels, with an MAE of 10.83 years (DeepFace) and 7.46 years (InsightFace). At low resolutions, MAE increases substantially, while very high resolutions also degrade accuracy. InsightFace is consistently faster than DeepFace across all resolutions.",针对自动年龄估计中输入图像分辨率对准确性的影响，本研究基于 IMDB-Clean 数据集，评估了 DeepFace 和 InsightFace 在七种不同分辨率下的表现。实验发现分辨率对准确性有显著的非线性影响，两种框架均在 224x224 像素时达到最佳性能，MAE 分别为 10.83 年和 7.46 年。过低分辨率会导致误差大幅增加，而过高分辨率亦会降低精度。对比显示，InsightFace 在所有分辨率下均比 DeepFace 处理速度更快且误差更小。
2511.14688,Ground Truth Generation for Multilingual Historical NLP using LLMs,"Historical and low-resource NLP remains challenging due to limited annotated data and domain mismatches with modern, web-sourced corpora. This paper outlines our work in using large language models (LLMs) to create ground-truth annotations for historical French (16th-20th centuries) and Chinese (1900-1950) texts. By leveraging LLM-generated ground truth on a subset of our corpus, we were able to fine-tune spaCy to achieve significant gains on period-specific tests for part-of-speech (POS) annotations, lemmatization, and named entity recognition (NER). Our results underscore the importance of domain-specific models and demonstrate that even relatively limited amounts of synthetic data can improve NLP tools for under-resourced corpora in computational humanities research.",针对历史文本（如 16-20 世纪法语和 1900-1950 中文）因缺乏标注数据和领域不匹配导致的 NLP 处理难题，本文利用大语言模型（LLM）生成高质量的标注作为基准真值。通过利用这些合成数据对 spaCy 进行微调，模型在特定历史时期的词性标注（POS）、词形还原和命名实体识别（NER）任务上取得了显著性能提升。结果表明，即使是有限的领域特定合成数据，也能有效改善计算人文学科中低资源语料库的 NLP 工具性能。
